c	0	1020	compagnie
c	0	1025	clé
c	0	1045	capable
d	0	1	de
d	0	30	des
d	0	33	dans
d	0	39	du
d	0	71	dit
d	0	83	dire
d	0	110	deux
d	0	128	dois
d	0	134	donc
d	0	145	d'accord
d	0	146	d'abord
d	0	147	d'ailleurs
d	0	148	d'habitude
d	0	149	d'après
d	0	150	d'un
d	0	150	dieu
d	0	151	d'une
d	0	152	d'autres
d	0	153	d'ici
d	0	154	d'avoir
d	0	155	d'être
d	0	156	d'aller
d	0	157	d'amour
d	0	162	doit
d	0	168	déjà
d	0	169	depuis
d	0	178	dis
d	0	184	désolé
d	0	237	dû
d	0	274	demain
d	0	302	désolée
d	0	314	devrais
d	0	316	dernière
d	0	317	demande
d	0	334	devrait
d	0	351	donner
d	0	357	donné
d	0	361	dont
d	0	385	demandé
d	0	387	devant
d	0	395	droit
d	0	400	dirait
d	0	408	donne
d	0	424	demander
d	0	430	dehors
d	0	431	docteur
d	0	452	devez
d	0	453	dessus
d	0	462	dur
d	0	471	dites
d	0	477	derrière
d	0	482	dernier
d	0	563	devoir
d	0	565	drôle
d	0	566	difficile
d	0	577	dollars
d	0	591	dès
d	0	611	devons
d	0	613	doute
d	0	650	dîner
d	0	688	devait
d	0	692	devenir
d	0	707	dormir
d	0	718	début
d	0	728	dis-moi
d	0	757	dix
d	0	764	déteste
d	0	773	disparu
d	0	786	devriez
d	0	790	dos
d	0	817	décidé
d	0	837	devais
d	0	868	disais
d	0	869	dedans
d	0	870	disent
d	0	888	doivent
d	0	905	devenu
d	0	912	doucement
d	0	916	disait
d	0	931	donne-moi
d	0	940	danger
d	0	941	dangereux
d	0	967	debout
d	0	986	droite
d	0	993	dossier
d	0	1005	dame
d	0	1013	don
d	0	1017	décision
d	0	1021	déjeuner
d	0	1022	différent
d	0	1040	diable
d	0	1085	drogue
d	0	1095	dirai
d	0	1100	dingue
d	0	1133	devient
d	0	1147	dommage
e	0	3	est
e	0	13	et
e	0	20	en
e	0	35	elle
e	0	56	était
e	0	65	être
e	0	70	est-ce
e	0	74	es
e	0	99	été
e	0	112	êtes
e	0	121	encore
e	0	137	étais
e	0	154	eu
e	0	218	entre
e	0	238	eh
e	0	258	enfants
e	0	268	elles
e	0	294	entendu
e	0	297	ensemble
e	0	329	eux
e	0	349	étaient
e	0	353	endroit
e	0	358	est-il
e	0	362	écoute
e	0	376	enfant
e	0	389	enfin
e	0	398	eau
e	0	403	espère
e	0	429	euh
e	0	437	école
e	0	457	équipe
e	0	469	essaie
e	0	472	exactement
e	0	490	envie
e	0	503	excusez-moi
e	0	511	essayé
e	0	517	essayer
e	0	527	êtes-vous
e	0	537	entendre
e	0	540	entrer
e	0	542	es-tu
e	0	544	étiez
e	0	547	ensuite
e	0	572	état
e	0	630	esprit
e	0	667	écrit
e	0	682	erreur
e	0	684	ecoute
e	0	699	entends
e	0	717	envoyé
e	0	721	écoutez
e	0	729	effet
e	0	860	expliquer
e	0	885	envoyer
e	0	887	espèce
e	0	915	exact
e	0	945	essaye
e	0	962	enquête
e	0	968	envoie
e	0	980	écouter
e	0	1002	entrez
e	0	1028	enfer
e	0	1039	étrange
e	0	1046	emmener
e	0	1047	écrire
e	0	1063	époque
e	0	1074	existe
e	0	1092	est-elle
e	0	1109	exemple
e	0	1132	ecoutez
e	0	1143	entrée
e	0	1161	enceinte
e	0	1167	excuse
e	0	1168	environ
e	0	1188	empêcher
e	0	1193	éviter
e	0	1194	étions
e	0	1198	expérience
e	0	1234	église
e	0	1238	ennuis
e	0	1246	espoir
e	0	1261	excuser
e	0	1311	essayez
e	0	1358	énergie
e	0	1367	espace
e	0	1378	envers
e	0	1384	ennemi
e	0	1388	énorme
e	0	1399	enlever
e	0	1402	épouser
e	0	1449	excuse-moi
e	0	1464	excellent
e	0	1470	étant
e	0	1492	emmène
e	0	1517	excuses
e	0	1543	entier
f	0	51	fait
f	0	58	faire
f	0	119	fais
f	0	127	faut
f	0	132	fois
f	0	160	femme
f	0	179	fille
f	0	229	fils
f	0	236	famille
f	0	251	faites
f	0	308	fini
f	0	325	frère
f	0	356	façon
f	0	409	fin
f	0	418	filles
f	0	439	femmes
f	0	444	feu
f	0	473	font
f	0	474	fort
f	0	483	fou
f	0	491	fête
f	0	529	film
f	0	532	faute
f	0	533	facile
f	0	546	fera
f	0	581	faisait
f	0	585	ferai
f	0	604	ferme
f	0	634	fous
f	0	662	face
f	0	674	ferais
f	0	709	faux
f	0	755	force
f	0	797	finir
f	0	820	fasse
f	0	832	faim
f	0	834	fond
f	0	864	ferait
f	0	894	fallait
f	0	925	fais-tu
f	0	932	flics
f	0	935	forme
f	0	942	folle
f	0	949	froid
f	0	977	faites-vous
f	0	1008	foutre
f	0	1016	flic
f	0	1031	faisais
f	0	1088	faisons
f	0	1110	fiche
f	0	1134	félicitations
f	0	1137	fut
f	0	1155	fbi
f	0	1184	fric
f	0	1222	faudra
f	0	1279	fenêtre
f	0	1321	fier
f	0	1346	frères
f	0	1363	faite
f	0	1387	finalement
f	0	1395	futur
f	0	1403	fleurs
f	0	1409	faits
f	0	1469	forte
f	0	1475	faudrait
f	0	1491	films
f	0	1521	fil
f	0	1544	foutu
f	0	1546	fermer
f	0	1559	frais
f	0	1565	frappé
f	0	1566	frapper
f	0	1578	faible
f	0	1582	failli
f	0	1612	français
f	0	1615	foi
f	0	1661	formidable
f	0	1698	forces
f	0	1699	fonctionne
f	0	1732	fout
f	0	1734	fermé
f	0	1742	falloir
f	0	1760	faveur
f	0	1766	fac
f	0	1798	folie
f	0	1815	frappe
f	0	1830	faisant
f	0	1834	france
f	0	1862	fais-le
f	0	1869	fesses
f	0	1871	fantôme
f	0	1875	franchement
f	0	1885	fantastique
f	0	1901	fatigué
f	0	1911	file
f	0	1927	fais-moi
g	0	181	gens
g	0	227	gars
g	0	270	grand
g	0	320	genre
g	0	413	gros
g	0	459	grande
g	0	463	guerre
g	0	468	garçon
g	0	493	génial
g	0	495	garde
g	0	548	garder
g	0	640	gentil
g	0	703	grave
g	0	711	groupe
g	0	738	gagner
g	0	739	grâce
g	0	743	général
g	0	846	gagné
g	0	863	gauche
g	0	901	grosse
g	0	953	gamin
g	0	987	gueule
g	0	1087	garçons
g	0	1094	gouvernement
g	0	1224	grands
g	0	1254	grand-mère
g	0	1317	glace
g	0	1389	grand-père
g	0	1391	gagne
g	0	1406	gosse
g	0	1587	gay
g	0	1600	goût
g	0	1674	gâteau
g	0	1684	gardes
g	0	1707	gentille
g	0	1724	gérer
g	0	1808	génie
g	0	1817	gosses
g	0	1850	grandes
g	0	1966	gaz
g	0	1995	grandi
g	0	2059	gardez
g	0	2078	genoux
g	0	2124	gardé
g	0	2174	gorge
g	0	2274	go
g	0	2316	gare
g	0	2331	garage
g	0	2345	gamins
g	0	2365	gouverneur
g	0	2409	gardien
g	0	2499	grand-chose
g	0	2523	geste
g	0	2525	gaffe
g	0	2618	géniale
g	0	2657	gloire
g	0	2658	gang
g	0	2874	gêne
g	0	2912	gâcher
g	0	3042	golf
g	0	3329	guérir
g	0	3336	géant
g	0	3371	grosses
g	0	3413	gordon
g	0	3548	garce
g	0	3563	gants
g	0	3605	gagnant
g	0	3615	grant
g	0	3618	guide
g	0	3705	gâché
g	0	3730	gratuit
g	0	3839	gus
g	0	3841	gibbs
g	0	3864	guitare
g	0	3879	gentils
g	0	3900	goûter
g	0	3902	grandir
g	0	3917	généreux
g	0	3946	groupes
g	0	3955	gère
g	0	3963	gamine
g	0	4110	génération
g	0	4150	girl
g	0	4233	green
g	0	4254	gênant
g	0	4375	gentleman
g	0	4401	gâteaux
g	0	4464	goutte
g	0	4662	guerrier
g	0	4692	gris
g	0	4706	gym
g	0	4947	genou
g	0	4964	grossesse
g	0	4996	générale
g	0	5050	grève
g	0	5101	gras
h	0	157	homme
h	0	261	hé
h	0	275	hein
h	0	290	heure
h	0	309	hommes
h	0	313	histoire
h	0	340	heures
h	0	421	hier
h	0	447	hey
h	0	539	heureux
h	0	622	hôpital
h	0	636	haut
h	0	706	honneur
h	0	808	hôtel
h	0	823	habitude
h	0	848	hors
h	0	853	heureuse
h	0	1048	honte
h	0	1122	héros
h	0	1145	horrible
h	0	1174	humain
h	0	1201	hum
h	0	1244	huit
h	0	1310	honnête
h	0	1342	ha
h	0	1364	histoires
h	0	1477	humains
h	0	1805	hasard
h	0	1899	habite
h	0	1902	heureusement
h	0	1994	humaine
h	0	2018	heu
h	0	2076	haute
h	0	2083	hâte
h	0	2266	humeur
h	0	2420	herbe
h	0	2521	honnêtement
h	0	2578	horreur
h	0	2589	hiver
h	0	2595	humanité
h	0	2654	hank
h	0	2668	hais
h	0	2677	ho
h	0	2836	haine
h	0	2924	howard
h	0	2997	hall
h	0	3292	huile
h	0	3389	humour
h	0	3479	harvey
h	0	3551	hauteur
h	0	3722	habiller
h	0	3745	habitants
h	0	3964	homicide
h	0	4076	habits
h	0	4081	héroïne
h	0	4091	héritage
h	0	4096	hitler
h	0	4141	holly
h	0	4181	halloween
h	0	4218	homer
h	0	4301	hill
h	0	4378	house
h	0	4390	habillé
h	0	4483	huh
h	0	4493	harris
h	0	4512	hélas
h	0	4612	hop
h	0	4627	horribles
h	0	4698	historique
h	0	4710	hélicoptère
h	0	4723	he
h	0	4809	hong
h	0	4816	harper
h	0	4913	hector
h	0	4929	homo
h	0	4962	heather
h	0	4997	hémorragie
h	0	5040	hello
h	0	5112	holmes
h	0	5167	horloge
h	0	5497	hôte
h	0	5595	han
h	0	5619	harvard
h	0	5678	hope
h	0	5771	habitué
h	0	5785	habillée
h	0	5806	haley
h	0	5812	happy
h	0	5838	habitudes
h	0	5893	hurler
h	0	5918	hommage
h	0	5933	habituer
h	0	5947	harrison
h	0	5953	hélico
h	0	5957	hockey
h	0	6011	houston
i	0	14	il
i	0	59	ils
i	0	67	ici
i	0	263	idée
i	0	300	importe
i	0	470	important
i	0	498	ii
i	0	513	instant
i	0	574	impossible
i	0	580	ira
i	0	588	inquiète
i	0	705	intérieur
i	0	767	incroyable
i	0	809	idiot
i	0	816	impression
i	0	840	imagine
i	0	875	inspecteur
i	0	896	ignore
i	0	994	ie
i	0	1069	intérêt
i	0	1075	ia
i	0	1166	intéressant
i	0	1170	inutile
i	0	1257	intéresse
i	0	1300	importance
i	0	1312	irai
i	0	1344	idées
i	0	1350	informations
i	0	1386	immédiatement
i	0	1419	invité
i	0	1528	it
i	0	1534	île
i	0	1549	image
i	0	1598	intention
i	0	1663	identité
i	0	1673	intelligent
i	0	1706	imbécile
i	0	1716	importante
i	0	1746	imaginer
i	0	1754	infos
i	0	1774	in
i	0	1788	inquiétez
i	0	1804	inquiéter
i	0	1939	information
